SiteName,date,PM2.5,AQI,CO,NO2,O3,SO2,SiteTypes,SiteX,SiteY
八达岭,20160305,45.125,241.875,0.316666667,21.125,61.04166667,3.916666667,对照点及区域点,115.988,40.365
八达岭,20161227,20.89473684,37.55,0.555,37.55,29.6,10.85,对照点及区域点,115.988,40.365
八达岭,20160322,83.8,105.1666667,0.816666667,18.80952381,68.58333333,16.66666667,对照点及区域点,115.988,40.365
八达岭,20160806,94.60869565,123.1428571,0.773913043,49,105.0869565,2.782608696,对照点及区域点,115.988,40.365
八达岭,20160608,100.5217391,101.0833333,1.129166667,48.66666667,129.75,2.333333333,对照点及区域点,115.988,40.365
八达岭,20161028,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160228,13.70833333,32.83333333,0.379166667,17.83333333,64.75,7,对照点及区域点,115.988,40.365
八达岭,20160321,71.95833333,69.75,0.770833333,2,64.25,11.58333333,对照点及区域点,115.988,40.365
八达岭,20160702,23.58333333,41.95833333,0.395833333,40.95833333,80,4.166666667,对照点及区域点,115.988,40.365
八达岭,20161223,24.66666667,46.13333333,0.946666667,54.06666667,16.66666667,15.73333333,对照点及区域点,115.988,40.365
八达岭,20160622,71.54166667,90.875,0.670833333,52.625,120.9583333,14.54166667,对照点及区域点,115.988,40.365
八达岭,20160227,16.625,30.375,0.420833333,31.58333333,47.83333333,10.125,对照点及区域点,115.988,40.365
八达岭,20160624,9.416666667,30.375,0.25,29.29166667,58.95833333,3.083333333,对照点及区域点,115.988,40.365
八达岭,20160310,11.875,45,0.308333333,18.2173913,64.20833333,3.958333333,对照点及区域点,115.988,40.365
八达岭,20160706,91.45454545,147.6521739,1.669565217,49.47826087,145.8695652,2.086956522,对照点及区域点,115.988,40.365
八达岭,20160327,16.95833333,42,0.395833333,26.33333333,62.66666667,11.125,对照点及区域点,115.988,40.365
八达岭,20160620,107.5714286,140.6666667,2.36,32.83333333,157.4166667,16,对照点及区域点,115.988,40.365
八达岭,20160226,17.45833333,33.20833333,0.425,28.83333333,52.08333333,11.25,对照点及区域点,115.988,40.365
八达岭,20160403,15.04166667,33.25,0.295833333,34.95833333,49.91666667,4.125,对照点及区域点,115.988,40.365
八达岭,20161129,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160629,83.90909091,91.20833333,0.933333333,41.20833333,90.375,3.625,对照点及区域点,115.988,40.365
八达岭,20160225,13,55.83333333,0.470833333,23.54166667,51.625,9.416666667,对照点及区域点,115.988,40.365
八达岭,20161008,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20161228,23.34782609,36.91304348,0.730434783,36.60869565,32.08695652,12.69565217,对照点及区域点,115.988,40.365
八达岭,20160621,49.83333333,106.8333333,1.217391304,37.33333333,101.7083333,16.91666667,对照点及区域点,115.988,40.365
八达岭,20160325,18.13636364,37.9047619,0.377272727,49.59090909,42.63636364,9.272727273,对照点及区域点,115.988,40.365
八达岭,20160331,159.4117647,127,1.394117647,74.82352941,NA,36.28571429,对照点及区域点,115.988,40.365
八达岭,20160229,27.875,29.54166667,0.620833333,43.08333333,38.70833333,11.95238095,对照点及区域点,115.988,40.365
八达岭,20160301,72.04166667,72.08333333,1.1,69.08333333,23.29166667,21.83333333,对照点及区域点,115.988,40.365
八达岭,20160324,13.125,30.08333333,0.375,44.60869565,40.20833333,10.95833333,对照点及区域点,115.988,40.365
八达岭,20160201,11.79166667,38.58333333,0.383333333,21,55.83333333,10,对照点及区域点,115.988,40.365
八达岭,20160623,39.33333333,92.54166667,0.545833333,54.75,44.625,5.625,对照点及区域点,115.988,40.365
八达岭,20160323,6.714285714,61.95833333,0.2,3.958333333,84.29166667,3.166666667,对照点及区域点,115.988,40.365
八达岭,20160306,34.25,117.875,0.545833333,41.95833333,35.375,8.833333333,对照点及区域点,115.988,40.365
八达岭,20160625,17.20833333,29,0.345833333,37.45833333,70,3.208333333,对照点及区域点,115.988,40.365
北部新区,20161217,124.9166667,138.5833333,3.591666667,94.16666667,11.17391304,13.16666667,城区环境评价点,116.174,40.09
北部新区,20160314,80.69565217,88.2173913,2.034782609,73.73913043,15.68181818,25.17391304,城区环境评价点,116.174,40.09
北部新区,20160914,84.5,124.4166667,0.725,46.2,58.42857143,6.833333333,城区环境评价点,116.174,40.09
北部新区,20160317,348.5,359.0416667,3.145833333,147.6666667,13.875,22.08333333,城区环境评价点,116.174,40.09
北部新区,20160915,49.08333333,79.79166667,0.583333333,40.375,57.66666667,7.875,城区环境评价点,116.174,40.09
北部新区,20161109,158.4166667,134.9166667,3.1,101.173913,2.826086957,18.08333333,城区环境评价点,116.174,40.09
北部新区,20161212,239.4210526,251.7894737,4.477777778,119.8421053,2.833333333,13.125,城区环境评价点,116.174,40.09
北部新区,20160214,5.782608696,16.08333333,0.22173913,10.79166667,48.875,6.166666667,城区环境评价点,116.174,40.09
北部新区,20160315,139.5,134.9411765,2.3,87,11.22222222,32.11111111,城区环境评价点,116.174,40.09
北部新区,20161110,150.9166667,242.4166667,2.808333333,89.04166667,22.875,20.79166667,城区环境评价点,116.174,40.09
北部新区,20160115,96.83333333,107.9583333,3.654166667,75.125,4.75,37,城区环境评价点,116.174,40.09
北部新区,20160911,27.33333333,57.04166667,0.508333333,46.33333333,48.625,5,城区环境评价点,116.174,40.09
北部新区,20161214,36.91666667,70.58333333,1.516666667,56.95833333,24.54166667,6.708333333,城区环境评价点,116.174,40.09
北部新区,20161218,204.2608696,205.3913043,4.595652174,114.9565217,6.869565217,12.86956522,城区环境评价点,116.174,40.09
北部新区,20160913,86.16666667,81.5,0.7375,53.29166667,49.08333333,5.958333333,城区环境评价点,116.174,40.09
北部新区,20160928,21.31818182,45.16666667,0.316666667,43.58333333,25.65217391,8.083333333,城区环境评价点,116.174,40.09
北部新区,20161210,72.75,74.04166667,2.4125,88.66666667,5.625,14.95833333,城区环境评价点,116.174,40.09
北部新区,20160212,171.9565217,233.7391304,4.047826087,60.17391304,11.04347826,23.39130435,城区环境评价点,116.174,40.09
北部新区,20160920,17.25,39.95833333,0.309090909,47.27272727,25.1,9,城区环境评价点,116.174,40.09
北部新区,20161019,168.625,173.5833333,2.095833333,69.70833333,29.95833333,11.625,城区环境评价点,116.174,40.09
北部新区,20160912,38.72727273,54.5,0.57826087,41.875,47.13043478,7.272727273,城区环境评价点,116.174,40.09
北部新区,20161105,152.75,250.3043478,3.354166667,116.9583333,21.66666667,11.79166667,城区环境评价点,116.174,40.09
北部新区,20161219,216.6086957,273.3043478,4.847826087,109.2608696,10.09090909,12.91304348,城区环境评价点,116.174,40.09
北部新区,20160919,11.29166667,27.125,0.229166667,38.16666667,27.625,9.625,城区环境评价点,116.174,40.09
北部新区,20161211,154.4166667,136.173913,4.108333333,116.3333333,2.347826087,16.5,城区环境评价点,116.174,40.09
北部新区,20161216,70.40909091,56.875,2.629166667,98,8.833333333,14.95833333,城区环境评价点,116.174,40.09
北部新区,20160112,21.04166667,38.7826087,0.683333333,32.08333333,27.52173913,12.16666667,城区环境评价点,116.174,40.09
北部新区,20161111,72.91666667,113.9166667,2.016666667,79.66666667,14.47826087,14.04166667,城区环境评价点,116.174,40.09
北部新区,20160918,24.54166667,50.81818182,0.379166667,37.60869565,21.08695652,9.083333333,城区环境评价点,116.174,40.09
北部新区,20160318,225.1666667,380.0416667,2.6,118.2916667,19.18181818,12.54166667,城区环境评价点,116.174,40.09
北部新区,20161215,31.45833333,60.29166667,1.241666667,44.29166667,35.82608696,7.458333333,城区环境评价点,116.174,40.09
北部新区,20160325,21.38095238,52.42857143,0.559090909,67.59090909,22.45454545,7.954545455,城区环境评价点,116.174,40.09
北部新区,20160202,41.95833333,43.625,2.866666667,52,18.41666667,33.125,城区环境评价点,116.174,40.09
北部新区,20160917,46.625,106.3333333,0.6625,47.45833333,14.83333333,8.333333333,城区环境评价点,116.174,40.09
北部新区,20161002,180.2272727,231.0416667,1.295833333,71.375,44.56521739,11.125,城区环境评价点,116.174,40.09
北部新区,20160209,49.04166667,69,2.295833333,37.125,33.47826087,28.33333333,城区环境评价点,116.174,40.09
北部新区,20161016,129.75,195.1666667,1.1,71.83333333,15.08695652,10.08333333,城区环境评价点,116.174,40.09
北部新区,20161102,98.08333333,116.875,1.895833333,80.58333333,14,15.16666667,城区环境评价点,116.174,40.09
北部新区,20160916,105.0416667,108.5,0.95,42.95833333,85.95652174,8.458333333,城区环境评价点,116.174,40.09
北部新区,20160316,255.047619,242.75,2.841666667,111.826087,16.59090909,28.20833333,城区环境评价点,116.174,40.09
北部新区,20160311,31.04166667,78.75,1.079166667,48.70833333,27.5,15.66666667,城区环境评价点,116.174,40.09
北部新区,20161213,103.1666667,243.4166667,2.8125,77.16666667,15.69565217,9.291666667,城区环境评价点,116.174,40.09
北部新区,20160215,6.75,32.16666667,0.216666667,11.45833333,52.16666667,7.375,城区环境评价点,116.174,40.09
北部新区,20161106,69.875,151.0416667,1.029166667,48.45833333,37.375,13.20833333,城区环境评价点,116.174,40.09
北部新区,20161220,318.6086957,304.1818182,6.713043478,139.3043478,5.086956522,6,城区环境评价点,116.174,40.09
北部新区,20160116,146.125,170,3.120833333,78.16666667,4.217391304,40.125,城区环境评价点,116.174,40.09
北部新区,20160718,116.25,124.5,0.958333333,70.375,34.95652174,7.041666667,城区环境评价点,116.174,40.09
北部新区,20160907,40.28571429,80.33333333,0.492857143,44.92857143,89.64285714,14,城区环境评价点,116.174,40.09
北部新区,20160922,93.83333333,108.375,0.9,57.66666667,42.60869565,16.20833333,城区环境评价点,116.174,40.09
北部新区,20161112,95.58333333,118.5833333,2.541666667,78.125,19.04166667,13.45833333,城区环境评价点,116.174,40.09
北部新区,20160929,47.125,56,0.5125,59.66666667,31.25,11.125,城区环境评价点,116.174,40.09
北部新区,20160717,69,63.54166667,0.845833333,69.79166667,57.54166667,5.958333333,城区环境评价点,116.174,40.09
北部新区,20160213,9.541666667,104.1666667,0.529166667,20.29166667,42.60869565,10.125,城区环境评价点,116.174,40.09
北部新区,20160921,57.625,61.20833333,0.75,70.16666667,19,8.041666667,城区环境评价点,116.174,40.09
北部新区,20161020,83.66666667,196.5833333,1.3125,47.17391304,20.73913043,7.958333333,城区环境评价点,116.174,40.09
北部新区,20160617,36.95833333,52.75,0.420833333,51.33333333,18.79166667,9,城区环境评价点,116.174,40.09
北部新区,20160205,8.125,26.125,0.341666667,16.70833333,51.65217391,8.041666667,城区环境评价点,116.174,40.09
北部新区,20161012,84.09090909,113.0416667,1.1375,79.75,4.4,20.63636364,城区环境评价点,116.174,40.09
北部新区,20160609,118.6190476,177.05,0.895238095,49.71428571,73.76190476,8.80952381,城区环境评价点,116.174,40.09
